"city","state","median_home_value"
"New York","NY","812861"
"Los Angeles","CA","952183"
"Houston","TX","264336"
"Chicago","IL","317283"
"San Antonio","TX","249810"
"Philadelphia","PA","231815"
"Phoenix","AZ","410169"
"Las Vegas","NV","426583"
"San Diego","CA","1001265"
"Dallas","TX","309421"
"Austin","TX","508530"
"San Jose","CA","1463614"
"Jacksonville","FL","282895"
"Charlotte","NC","397125"
"Indianapolis","IN","229209"
"Fort Worth","TX","298051"
"Orlando","FL","374136"
"San Francisco","CA","1356662"
"Tucson","AZ","324023"
"Columbus","OH","245979"
"Miami","FL","579564"
"Louisville","KY","261482"
"El Paso","TX","234775"
"Denver","CO","539666"
"Seattle","WA","868680"
"Portland","OR","534638"
"Nashville","TN","434338"
"Washington","DC","582914"
"Sacramento","CA","479766"
"Boston","MA","798217"
"Detroit","MI","75358"
"Pittsburgh","PA","237533"
"Albuquerque","NM","344457"
"Memphis","TN","144710"
"Fresno","CA","391328"
"Baltimore","MD","188101"
"Omaha","NE","294189"
"Atlanta","GA","385599"
"Milwaukee","WI","220137"
"Oklahoma City","OK","206713"
"Raleigh","NC","433996"
"Mesa","AZ","435134"
"Colorado Springs","CO","449452"
"Buffalo","NY","238089"
"Kansas City","MO","250208"
"Rochester","NY","235784"
"Cincinnati","OH","249568"
"Long Beach","CA","857861"
"Virginia Beach","VA","427032"
"Bakersfield","CA","396047"
"Tampa","FL","374888"
"Oakland","CA","716248"
"Tulsa","OK","217450"
"Minneapolis","MN","330882"
"Aurora","CO","463081"
"Spring","TX","364701"
"Honolulu","HI","768465"
"Knoxville","TN","369216"
"Arlington","TX","310971"
"Baton Rouge","LA","228415"
"New Orleans","LA","242493"
"Wichita","KS","202720"
"Cleveland","OH","115537"
"Riverside","CA","646784"
"Anaheim","CA","950504"
"Vancouver","WA","509318"
"Stockton","CA","431328"
"Marietta","GA","471588"
"Columbia","SC","229068"
"Greensboro","NC","264428"
"Fort Wayne","IN","242385"
"Lexington","KY","329115"
"Naples","FL","551996"
"Henderson","NV","486156"
"Corpus Christi","TX","223502"
"Saint Louis","MO","181928"
"Santa Ana","CA","866066"
"Durham","NC","396395"
"Silver Spring","MD","550712"
"Saint Paul","MN","293972"
"Spokane","WA","395325"
"Newark","NJ","478455"
"Reno","NV","567857"
"Saint Petersburg","FL","347964"
"Irvine","CA","1557982"
"Lincoln","NE","291062"
"Toledo","OH","129627"
"Chandler","AZ","524156"
"Tallahassee","FL","291127"
"Jersey City","NJ","658269"
"Plano","TX","498989"
"Lubbock","TX","209436"
"Modesto","CA","446494"
"Katy","TX","338082"
"Lawrenceville","GA","382152"
"Chula Vista","CA","846372"
"Boise","ID","499492"
"Richmond","VA","369646"
"Gilbert","AZ","572507"
"Winston-Salem","NC","264333"
"Madison","WI","423767"
"Laredo","TX","220331"
"North Las Vegas","NV","407047"
"San Bernardino","CA","487988"
"Lakeland","FL","311156"
"Fort Myers","FL","308876"
"Irving","TX","341503"
"Mobile","AL","194564"
"Glendale","AZ","407332"
"Pensacola","FL","265791"
"Anchorage","AK","410782"
"Chesapeake","VA","420756"
"Sarasota","FL","412112"
"Fayetteville","NC","225534"
"Birmingham","AL","135870"
"Hialeah","FL","443804"
"Garland","TX","286805"
"Kissimmee","FL","358736"
"Scottsdale","AZ","858022"
"Norfolk","VA","306227"
"Ocala","FL","269576"
"Santa Clarita","CA","802016"
"Fremont","CA","1543132"
"Fontana","CA","639032"
"Springfield","MO","242870"
"Greenville","SC","327592"
"Boca Raton","FL","562566"
"Grand Rapids","MI","303298"
"Bradenton","FL","353218"
"Little Rock","AR","216519"
"Gainesville","FL","297055"
"Port Saint Lucie","FL","383298"
"Tacoma","WA","493840"
"Woodbridge","VA","504790"
"Amarillo","TX","206787"
"Des Moines","IA","208166"
"Savannah","GA","326509"
"Oxnard","CA","767291"
"Santa Rosa","CA","718726"
"Huntsville","AL","287569"
"Akron","OH","137894"
"Wilmington","NC","416159"
"Brownsville","TX","195993"
"Yonkers","NY","680218"
"Eugene","OR","473231"
"Corona","CA","764386"
"Dayton","OH","136592"
"Syracuse","NY","210251"
"Montgomery","AL","151228"
"Alexandria","VA","676205"
"Oceanside","CA","877742"
"Trenton","NJ","345376"
"Moreno Valley","CA","551284"
"Shreveport","LA","135092"
"Murfreesboro","TN","426292"
"West Palm Beach","FL","399471"
"Worcester","MA","430112"
"Fort Collins","CO","563815"
"Salt Lake City","UT","573181"
"Beaverton","OR","530795"
"Salinas","CA","747758"
"Frisco","TX","656758"
"McKinney","TX","481963"
"Sioux Falls","SD","329723"
"Reading","PA","260654"
"Lancaster","CA","465847"
"Huntington Beach","CA","1366658"
"Cape Coral","FL","338302"
"Lake Worth Beach","FL","435713"
"Hayward","CA","848427"
"Salem","OR","436318"
"Clarksville","TN","318206"
"Grand Prairie","TX","316527"
"Charleston","SC","589607"
"Peoria","AZ","488596"
"Cypress","TX","406545"
"Providence","RI","426007"
"Whittier","CA","821843"
"Overland Park","KS","482295"
"Henrico","VA","404821"
"Palmdale","CA","501257"
"Fredericksburg","VA","480265"
"Chattanooga","TN","319579"
"Homestead","FL","436669"
"Cumming","GA","603209"
"Fort Lauderdale","FL","508474"
"Elk Grove","CA","637450"
"Rockford","IL","177225"
"Evansville","IN","198977"
"Erie","PA","198492"
"Edmond","OK","353954"
"York","PA","275648"
"Ontario","CA","672742"
"Killeen","TX","219957"
"Allentown","PA","309699"
"Tempe","AZ","468281"
"Garden Grove","CA","1013183"
"Escondido","CA","844072"
"El Cajon","CA","816317"
"Rancho Cucamonga","CA","792765"
"Round Rock","TX","407077"
"Newport News","VA","290660"
"Conroe","TX","313986"
"Boynton Beach","FL","401877"
"Harrisburg","PA","263369"
"Roanoke","VA","277113"
"Ann Arbor","MI","523391"
"Everett","WA","662786"
"Sugar Land","TX","447176"
"Naperville","IL","610454"
"Fairfax","VA","792535"
"Pembroke Pines","FL","487422"
"Augusta","GA","176235"
"Edinburg","TX","217345"
"Topeka","KS","190096"
"Lakewood","CO","573913"
"Midland","TX","328325"
"Pueblo","CO","283603"
"Visalia","CA","396184"
"Odessa","TX","251239"
"Cary","NC","626396"
"Schenectady","NY","318449"
"Lafayette","LA","224254"
"Paterson","NJ","528882"
"Tyler","TX","251563"
"Clearwater","FL","339488"
"Sunnyvale","CA","2168909"
"Lansing","MI","163359"
"Las Cruces","NM","290023"
"Macon","GA","169499"
"Hollywood","FL","439400"
"Jackson","MS","87256"
"Pomona","CA","690986"
"Roseville","CA","644324"
"South Bend","IN","192340"
"Albany","NY","320506"
"Mesquite","TX","262121"
"Bellevue","WA","1516154"
"Renton","WA","764375"
"Pasadena","TX","217449"
"Surprise","AZ","422473"
"Denton","TX","354135"
"Santa Maria","CA","658011"
"Thornton","CO","502945"
"Torrance","CA","1124932"
"Victorville","CA","436009"
"Kent","WA","656314"
"Beaumont","TX","166671"
"Summerville","SC","376903"
"Bridgeport","CT","355127"
"McAllen","TX","229001"
"Manassas","VA","557119"
"Yuma","AZ","301508"
"Cedar Rapids","IA","204112"
"Fullerton","CA","1050945"
"Olathe","KS","433117"
"Canton","OH","168515"
"Myrtle Beach","SC","320925"
"Frederick","MD","466011"
"Warren","MI","196785"
"Saint Augustine","FL","431116"
"Billings","MT","392209"
"Abilene","TX","210016"
"West Valley City","UT","471862"
"Orange","CA","1143788"
"Metairie","LA","320785"
"Decatur","GA","279470"
"Pearland","TX","382157"
"Kalamazoo","MI","236274"
"Compton","CA","637961"
"Lake Charles","LA","199012"
"Hampton","VA","275341"
"Miramar","FL","518019"
"Concord","NC","382592"
"Stamford","CT","704417"
"Hemet","CA","444334"
"Carrollton","TX","406040"
"Coral Springs","FL","520102"
"Sterling Heights","MI","306785"
"Murrieta","CA","688358"
"Elizabeth","NJ","534667"
"Inglewood","CA","763568"
"Clovis","CA","521708"
"Melbourne","FL","356354"
"Hamilton","OH","299684"
"New Haven","CT","326440"
"Santa Fe","NM","580022"
"Boulder","CO","964531"
"Tracy","CA","696047"
"Broken Arrow","OK","286846"
"Bend","OR","732650"
"Bloomington","IN","313960"
"College Station","TX","349041"
"Riverview","FL","366095"
"Puyallup","WA","570442"
"Flint","MI","65072"
"Simi Valley","CA","844909"
"Fargo","ND","314973"
"Sparks","NV","529283"
"Santa Clara","CA","1782192"
"Saginaw","MI","128098"
"Nampa","ID","412277"
"Vallejo","CA","520970"
"Temecula","CA","766379"
"Norman","OK","262839"
"Thousand Oaks","CA","1049634"
"Independence","MO","208158"
"Meridian","ID","526994"
"Joliet","IL","259875"
"Charlottesville","VA","515217"
"Bellingham","WA","668589"
"Arvada","CO","616566"
"Stone Mountain","GA","268439"
"Athens","GA","337254"
"Westminster","CO","527654"
"Yakima","WA","359876"
"Tuscaloosa","AL","228947"
"New Port Richey","FL","289102"
"Spring Hill","FL","307156"
"Elgin","IL","329682"
"Chico","CA","466204"
"Spartanburg","SC","233687"
"Bowling Green","KY","288241"
"Largo","FL","332210"
"Falls Church","VA","789604"
"Hartford","CT","198965"
"Toms River","NJ","456692"
"Lewisville","TX","393896"
"Vero Beach","FL","362131"
"Berkeley","CA","1443684"
"Bethlehem","PA","351353"
"Gresham","OR","471181"
"Palm Bay","FL","302461"
"Asheville","NC","460994"
"East Los Angeles","CA","675165"
"Delray Beach","FL","340487"
"Laurel","MD","476648"
"New Braunfels","TX","350104"
"Cambridge","MA","1041569"
"Carlsbad","CA","1370649"
"Perris","CA","543988"
"Franklin","TN","922855"
"West Jordan","UT","561836"
"Vista","CA","878352"
"Fairfield","CA","609269"
"Hillsboro","OR","522557"
"Waco","TX","194245"
"Richardson","TX","440400"
"Lehigh Acres","FL","284161"
"Manchester","NH","435334"
"Lowell","MA","480319"
"Costa Mesa","CA","1413322"
"Santa Barbara","CA","1834095"
"Rock Hill","SC","326184"
"Waterbury","CT","276344"
"Downey","CA","888710"
"League City","TX","372300"
"Pflugerville","TX","377293"
"Provo","UT","484203"
"Ventura","CA","902872"
"Ashburn","VA","810332"
"Antioch","CA","598211"
"Redding","CA","388869"
"Kennesaw","GA","403299"
"El Monte","CA","765444"
"North Charleston","SC","309522"
"West Covina","CA","852373"
"Pompano Beach","FL","351517"
"San Leandro","CA","817480"
"Vacaville","CA","608239"
"High Point","NC","249821"
"Saint Charles","MO","344643"
"Winter Haven","FL","275361"
"Grand Junction","CO","422320"
"Miami Gardens","FL","469434"
"Centennial","CO","649086"
"Menifee","CA","584525"
"Hesperia","CA","460687"
"Bothell","WA","1061138"
"San Mateo","CA","1686905"
"Douglasville","GA","301700"
"McDonough","GA","334349"
"Green Bay","WI","278024"
"Lynnwood","WA","784107"
"Dearborn","MI","245068"
"Madera","CA","423813"
"Burbank","CA","1200885"
"Baytown","TX","246066"
"Davie","FL","515020"
"Auburn","WA","614182"
"Edison","NJ","638209"
"West Chester","PA","657113"
"Greeley","CO","420464"
"Merced","CA","397876"
"Rockville","MD","618892"
"Longmont","CO","556720"
"Sandy Springs","GA","691063"
"Missouri City","TX","336288"
"Gaithersburg","MD","527608"
"Chapel Hill","NC","631167"
"Woodstock","GA","460207"
"Daly City","CA","1143595"
"Jurupa Valley","CA","672514"
"Idaho Falls","ID","395035"
"Rio Rancho","NM","361856"
"Apopka","FL","394963"
"Davenport","IA","187412"
"Lithonia","GA","249164"
"Brockton","MA","503833"
"Wichita Falls","TX","172051"
"Longview","TX","230973"
"Norwalk","CA","763283"
"Plainfield","IL","421481"
"Parker","CO","688178"
"Rialto","CA","588566"
"Roswell","GA","658156"
"Bryan","TX","274647"
"Midlothian","VA","467648"
"Georgetown","TX","426799"
"Federal Way","WA","601744"
"Anderson","SC","272108"
"Elkhart","IN","222794"
"Clinton Township","MI","255955"
"Lawrence","KS","331113"
"Gastonia","NC","277331"
"Redmond","WA","1402276"
"Allen","TX","493532"
"Kennewick","WA","430870"
"Acworth","GA","409265"
"Lawton","OK","139275"
"Champaign","IL","231273"
"Clermont","FL","429095"
"Lynchburg","VA","262101"
"Sandy","UT","665522"
"Redwood City","CA","1897529"
"Fishers","IN","441582"
"Carmel","IN","563458"
"Medford","OR","406689"
"Livermore","CA","1122823"
"Tomball","TX","360402"
"Fort Mill","SC","527208"
"Lees Summit","MO","390166"
"Lynn","MA","580316"
"Santa Cruz","CA","1344332"
"Portsmouth","VA","260462"
"Kenosha","WI","273053"
"Scranton","PA","181950"
"New Bedford","MA","434262"
"Covington","GA","292187"
"Bowie","MD","524118"
"San Marcos","CA","955362"
"Napa","CA","879853"
"Williamsburg","VA","464104"
"Annapolis","MD","618838"
"Highlands Ranch","CO","712205"
"San Angelo","TX","220605"
"Sterling","VA","642390"
"Pittsburg","CA","569428"
"Chino","CA","761426"
"Johnson City","TN","292485"
"Mission Viejo","CA","1229743"
"Missoula","MT","564622"
"Newnan","GA","363872"
"Sunrise","FL","360656"
"Hawthorne","CA","883585"
"Orem","UT","504054"
"Rapid City","SD","361496"
"Spokane Valley","WA","408888"
"Livonia","MI","309576"
"Humble","TX","254588"
"Loveland","CO","500792"
"Indio","CA","517774"
"Simpsonville","SC","377970"
"Cheyenne","WY","387234"
"Valdosta","GA","210105"
"Saint George","UT","519370"
"South Gate","CA","700783"
"Gulfport","MS","200520"
"Flagstaff","AZ","656480"
"Ogden","UT","400514"
"Apex","NC","599085"
"Plantation","FL","496174"
"Suffolk","VA","384301"
"Fort Smith","AR","193977"
"Terre Haute","IN","155802"
"Holland","MI","364546"
"Port Charlotte","FL","267470"
"Santa Monica","CA","1703948"
"Goodyear","AZ","469424"
"Lacey","WA","516096"
"Bismarck","ND","369559"
"Fort Pierce","FL","277925"
"Manteca","CA","587965"
"Florence","SC","219285"
"Glen Burnie","MD","393598"
"Fall River","MA","445781"
"Monroe","LA","149717"
"Florissant","MO","191524"
"Palm Coast","FL","342019"
"Macomb","MI","423207"
"Greenwood","IN","326491"
"Herndon","VA","740680"
"Duluth","MN","284100"
"Conyers","GA","297597"
"San Tan Valley","AZ","396622"
"Nashua","NH","502529"
"Appleton","WI","297642"
"Leesburg","VA","865517"
"Deltona","FL","297466"
"Harlingen","TX","197377"
"Ellicott City","MD","738339"
"Greer","SC","348460"
"Muncie","IN","151291"
"Waukegan","IL","235401"
"Sanford","FL","342584"
"Morgantown","WV","280205"
"Mount Pleasant","SC","875092"
"Clifton","NJ","612462"
"Stafford","VA","556177"
"Newton","MA","1528894"
"Warner Robins","GA","212129"
"Waldorf","MD","435952"
"Walnut Creek","CA","1045017"
"Easton","PA","371500"
"Quincy","MA","675959"
"Town 'n' Country","FL","380936"
"Saint Cloud","FL","394011"
"Jonesboro","AR","222893"
"San Ramon","CA","1543534"
"Citrus Heights","CA","477114"
"Mooresville","NC","482315"
"Owensboro","KY","209852"
"Brandon","FL","356875"
"Victoria","TX","213835"
"Troy","MI","457480"
"Sioux City","IA","196299"
"Iowa City","IA","298092"
"Buckeye","AZ","395376"
"O Fallon","MO","376395"
"Danbury","CT","478979"
"Rancho Cordova","CA","535997"
"Germantown","MD","423002"
"Newport Beach","CA","3625146"
"Mission","TX","220634"
"Brooklyn Park","MN","347073"
"Pasco","WA","418088"
"Alpharetta","GA","726349"
"Westland","MI","211889"
"Avondale","AZ","398568"
"Cedar Park","TX","471699"
"Cicero","IL","264526"
"Kirkland","WA","1265788"
"Springdale","AR","338447"
"Eau Claire","WI","311027"
"Hattiesburg","MS","220234"
"Temple","TX","249531"
"Deerfield Beach","FL","273229"
"Apple Valley","CA","432343"
"Middletown","OH","255694"
"Valparaiso","IN","355845"
"Battle Creek","MI","176635"
"Buena Park","CA","940507"
"Snellville","GA","355608"
"Denham Springs","LA","255931"
"Covina","CA","804341"
"Watsonville","CA","831097"
"Camarillo","CA","924929"
"Slidell","LA","218143"
"Farmington Hills","MI","387308"
"Arlington Heights","IL","470945"
"Smyrna","GA","447948"
"Conway","AR","244316"
"Wake Forest","NC","512161"
"Mountain View","CA","2037086"
"Des Plaines","IL","339855"
"Oviedo","FL","506154"
"Alhambra","CA","937892"
"Evanston","IL","470774"
"Cranston","RI","446694"
"Westerville","OH","446095"
"Miami Beach","FL","515965"
"Maryville","TN","390045"
"Houma","LA","184223"
"Upland","CA","825789"
"Wesley Chapel","FL","401921"
"Kingsport","TN","254341"
"Carson","CA","799422"
"Schaumburg","IL","349953"
"Salisbury","NC","280646"
"Sumter","SC","213463"
"Johns Creek","GA","703497"
"Noblesville","IN","389215"
"Turlock","CA","483265"
"Mechanicsburg","PA","401857"
"Pharr","TX","164025"
"Tustin","CA","1189731"
"Parma","OH","210914"
"Milpitas","CA","1502891"
"Yuba City","CA","442904"
"Lodi","CA","520831"
"Orange Park","FL","309406"
"Bethesda","MD","1152219"
"State College","PA","408500"
"Yukon","OK","273583"
"Plymouth","MN","508713"
"Marysville","WA","634696"
"Lake Forest","CA","1208686"
"Porterville","CA","326954"
"Lake Elsinore","CA","586598"
"Plant City","FL","340765"
"Hoover","AL","437228"
"The Villages","FL","396254"
"Chesterfield","VA","411951"
"Dalton","GA","242582"
"Rome","GA","229355"
"Somerville","MA","940239"
"Shelby Township","MI","404496"
"Folsom","CA","763784"
"Bellflower","CA","801999"
"Venice","FL","379805"
"Layton","UT","527623"
"Rogers","AR","385743"
"Castle Rock","CO","672107"
"Olympia","WA","533713"
"Winter Park","FL","464211"
"Tulare","CA","353916"
"Redlands","CA","636035"
"Bozeman","MT","724089"
"Winchester","VA","399457"
"Suwanee","GA","607322"
"Dothan","AL","203928"
"Glen Allen","VA","511248"
"Spring Valley","CA","775807"
"Jupiter","FL","693656"
"Leander","TX","425972"
"La Mesa","CA","893276"
"Racine","WI","208908"
"Hagerstown","MD","300051"
"Rochester Hills","MI","465253"
"Southfield","MI","250952"
"White Plains","NY","770309"
"Binghamton","NY","181130"
"Saint Joseph","MO","180020"
"Pleasanton","CA","1601646"
"Bremerton","WA","483132"
"Buford","GA","469651"
"Milton","FL","284184"
"New Rochelle","NY","917531"
"Brentwood","CA","805888"
"Pawtucket","RI","391766"
"Hot Springs","AR","243826"
"Land O Lakes","FL","418485"
"Flower Mound","TX","609719"
"Chino Hills","CA","996262"
"New Britain","CT","298511"
"Ewa Beach","HI","836184"
"Caldwell","ID","396876"
"Gary","IN","86989"
"Palm Beach Gardens","FL","675581"
"Queen Creek","AZ","632223"
"Petaluma","CA","901207"
"Great Falls","MT","334708"
"Woodbury","MN","457355"
"Warwick","RI","414087"
"South Jordan","UT","665928"
"Davis","CA","854623"
"North Port","FL","303120"
"Norcross","GA","327599"
"Lauderhill","FL","213844"
"Aiken","SC","272072"
"Huntington","WV","139631"
"Broomfield","CO","632201"
